,label,text_a
42,0,不会干，春天
354,0,洗完就异味会少些  女生可以每天！
162,0,一口味蕾享受！
111,0,我最不喜欢身体乳油腻腻的  这款身体乳肤感nice！
304,0,红/蓝/黑单用都?，附着显色力还不错，黄色比较清透滋润感多一点～  蛮好玩der！
17,1,书籍分享3/不努力你都不知道到底多优秀
314,1,高露洁氨基酸小篮管
144,0,肿眼泡丨春日桃花软妹妆初恋消肿教程  春天来了！
80,0,奶油肌立现阿！
273,1,BF冰川面霜  是我这种干皮用过少数补水到位且不油腻的产品！！
268,0,不会飞粉，还防水呢！
285,0,里面富含三螺旋胶原和六胜肽  这些都是抗老届的老网红了吧？！！
136,1,随便涂涂都好看九色眼影盘！
40,1,有这几支口红子承包各类妆容啥风都有  黑管口红这个系列是真的很ok?半哑光不拔干的质地  有好多色号?能让你挑花眼  姐挑的三个铁定实用奥！
351,0,男女生别绕道！
110,0,还可以保持肌肤水油平衡～  质地丝滑，一点都不厚重，吸收也很快！
95,1,这款卡诗高能发膜，真的太绝！
308,1,全能管防晒一支满足你所有需求，假期随身携带，不假白，清爽不油腻，户外室内两不误！
109,1,自带高光!  前几天一直在追浪姐啊～  姐姐们的脸蛋儿看起来都像18岁[哭惹R]  转头我就get了姗姗tong款白肌能量水  本来还担心喝8下去  没想到酸酸甜甜的口感跟果汁一样[
159,1,番茄肉酱意面还是经典啊！！
348,1,贝利达牙釉质修复牙膏  一支意大利原装进口牙膏~
81,1,打卡草莓雪顶
232,0,哈哈哈哈  好多只这种浓郁滴车厘子色！
384,0,便捷携带，妆效自然。
342,1,日杂奶茶冻～尊滴忍不住想亲  #715 迷失  这个颜色巨日杂啊！
271,0,原来她们给皮肤补水的功课一年四季都不掉！！！
126,0,基本上也是比较简单的cut crease。
167,0,夜宵必备！
173,0,[派
340,0,书桌日常  ?周五愉快  晒晒我的书桌
326,0,ax感受下来也挺好呢～享受一起护肤的小甜蜜。
315,1,今日穿搭??新年红色复古穿搭必备单品  新年自然要红红火火，红色是必不可少的元素之一哦，今天红色复古针织衫搭配黑色长裙，简约大气，复古项链是提升复古味的必备单品。
196,0,上眼的是小草莓+小冰晶  555小饼干一样的mini眼影真滴有被可爱到！
322,0,用最好的方式来提高学习效率，何乐而不为呢？
49,1,还有一个强烈的建议  新手选择平价散粉就可以了  刚开始不要花钱买教训！！！
166,0,??  总体来说不错啦！
239,0,会有一点光泽感！
189,0,肤色亮得太快我错了吗！
203,0,这真是忒了 随便点拍开也不会减弱遮瑕力 还有！
195,0,就是把亮片沿着眼睑下至线点涂  这样每个角度看起来都闪闪的 好仙好灵动~
151,0,mua～
100,1,消肿橘棕氛围感眼妆爆闪眼妆教程  四合院这盘年味儿真滴好绝哇[派
293,0,惊喜盒子  好运气
28,0,对！
